LABEL,sentances
0,off to sleeps. With no phone calls! 
0,"Ur rude, dont forget to mention in ur long hard day. That you ignored ur gf "
1,@joyfirestar daddy will support you 
0,"bah, i h8 waking up "
1,"@Zonoma ohh. I still feel curious.  anyway, thanks by the way"
0,"@SleepTightTiger don't torture me! I'd honestly love nothing more than that! esp right now that I've got no job, no flight money though "
0,Hey @kiddshow buenas mornings! Mi pelo is tangly   (kiddlive live &gt; http://ustre.am/2FUW)
0,@Jonin60seconds tried to edit the page but couldn't add my name  can you pop me on the list please!
0,@TheEllenShow my best pal &amp; I wud love 2 win tickets to your show... but from Hong Kong... it's so far! 
0,Just downloaded Mega Man 9. It's retro-hard! 
1,think i'm gonna go make me some pancakes  om nom nom nom nom nom
0,"@futuredirected precisely, so its pretty clear why certain right wing (and left for that matter) attack certain aspects of democracy "
0,I have a terrible headache. Its been there for several hrs &amp; just wont go away. 
0,i have officially lost all feeling in my legs! playing the sims 3 for seven hours isn't good... 
1,is sewing for my college class! 
1,@TehKimber stable is the third place in the sex on the fly challenge  @shansgrl has balcony and science lab already
1,im eating cocopuffs and a pbnj samich 
1,@libertygirl3 Then I am the dwarf called Sleepy 
0,My girlfriend is deathly ill and on her way to the hospital 
1,"long run and cooking soba rice noodles, tofu and veggie stir-fry with @peterdemarco "
0,@iiLoveJBxOx Omgggggg. I dont know if i want them back together. I mean if hes happy so am i but he`ll get hurt again  x
0,Meh. Exam tomorrow  What is everyone else got planned for then?
1,@rockahunny They're vampire novels. The first is called Eighth Grade Bites. 
0,"@foiledcupcakes it's just my eldest ... she's pretty out of it.    I hadn't seen that show in yrs, it was still entertaining!  LOL"
1,"@KWAMEDIDIT nah, i caught it. that's why i thought it was funny.  // go easy on that juice man. lol."
0,I agree with you Matt. Nobody is willing to go out on a limb anymore for the greater good! 
0,just reached for her plate to get another bit of toast and realised id eaten it all  not a nice feeling 
0,@astynes Yeh I dunno what I'm going to do...  Think Josh has been buggering around with my dvds. 
0,Is sick...again 
0,i'm gonna miss those dayss 
0,@PrinceSammie ugh someone LEFT me hanging 
0,@LucyFurLeaps It's still up the duff boo 
0,"nite all well really I'm not going to bed, but I don't have my own compt. &amp; I'm leaving skool lib I will say parting is such sweet sorrow "
1,dormir. amanḥ tem niver da josi e show do bruno e marrone noh KKKKKK besos twitters 
0,@cityzen28 aw sadness! Next time! 
0,frustrated 
1,"@jeffreecuntstar decent Australian guys are hard to find...trust me, you're better off with an American one "
1,"i'm so very tired, i think i'll take it east today...don't plan on doing too much "
1,"Just had lechon  cholesterol attack, but still so good."
1,@twilightfan023 hey! 
1,Millie's is just down the block from St. John's church and Patrick Henry in case you go -- do go!!  
1,@carolermp You are industrious! I didn't have my cheese last night in the end - the strawbs filled me up 
0,@jodiluvsjordank none of the guys can see ur tweets to them unless u take ur profile off private 
1,@mileycyrus oh no i hope noah is ok good luck tonight 
1,"@angiekayz omg girl, i totally didn't see your message, im sorry xD. I'm from the US but I lived in Denmark for about 4 years! "
0,@Mamasaywhat bitch!!  Lol...j/k...mines almost done too...then 1 1/2 - 2 hour work out 
1,june 27 is my grad party. You guys shoudl save the date and look for a facebook invite soon 
0,sitting in class bored  lol
0,@maryelleuh i know right =( god im really sad now I have to look somewhere else 
1,@Winky_Cutto Not a problem Winks! 
0,@Nessie_Jake  I hope you feel better.
1,@ShedaBeda im not about to change up cause their losing this series. thats not what a fan does. anything can happen. 
1,@freshypanda oh my...you are just getting back to me about the rain LOL..sorry It is nice here too! 
0,I wanna be Jackson Pollock 
1,@TroyStith hello! 
0,@daveexplosm it was never that hot when I live back home 
1,"@tifftiff621 just came home from a full moon BBQ. I was thinking how nice it would have been if you were there. hmm, one day. Good Night "
1,@iJessicaSimpson awww i love you too 
0,"Still haven't gone to the movie. Miss Ashee  She will be back tomorrow hopefully! Katelyn, plzzz get online."
0,i miss my feather duster 
0,"@FadyAnwar its sad cause that was the last GSM company owned by Egyptians, also Orascom was inforced to sell its share to FC "
1,Enjoying a lovely Sunday afternoon  Got back from babysitting and now gonna go shopping and get a coffee!
0,"Well...its still NOT RAINING HERE and it looks like we might actually go thru April, May and June without moisture!   UGH! "
0,Sad that my McFlurry is gone 
0,@JoeyMcIntyre http://twitpic.com/6h6aw - awww KEVIN!!!!!! I miss class 
0,6 hours of sleep in last 2 days.... Headed 2 eat with pastor after service.... And gotta be at airport by 5 
1,@JinnyBoy good!! Now time for some R&amp;R.  
0,@Betheaeroplane aw  are you getting my texts on aim?
0,@jackiedalia I know. life is a cruel bitch and doesn't want us to be together 
0,is working on Mother's day 
0,"@djdeks okay &quot;james&quot;...I'm going going back back to cALI cALI....and for the record, I have a feeling you'll feel dif in the am Xoxo nerd "
0,is eating his lunch at the park..by himself. That is sad. 
0,feels ill  and still doesnt know what she's wearing laterr badtimes
1,just finished moving back to florida  
0,My sinuses are going to 'splode.  No bueno. Time for more Alavert and hopefully sleep.
1, happy day cash cash party in your bedroom on xm radio
0,@LonoSG UFC UFC UFC. I have to wait until Friday 
1,new super power camping place -&gt; 24 hr MAC @ Springleaf Tower  ...still eating my fries.
0,"Its going to be like 30 and sunny today, and I'm stuck inside. Ugh  and of course since I'm off on the weekend its gonna rain!"
0,is missing the TestFest. Stuck at work after being sick for two days... 
1,@TickleMeJoey Hey Joe Argentina loves u!!  Did you like it? 
0,I've been looking for almost a full hour now. 
1,Good Nite all will tweet in the am. 
1,"@tinytim2701 Thanks  I'm at Kent Uni, got Dizzee Rascal, The Pigeon Detectives, Noisettes, @gregjames and @zane lowe doing sets as well."
0,Neelyyyy just left  home alone uhhhhh lame
0,In math klass bored as hell!  urghhhhh i hate math!
1,5th Sunday Singing 
0,going to work. wont be back on for like 8hrs. 
0,"@yagsfan I am ill too.  But when you have a Josh ticket, ya gotta do what ya gotta do! ;)"
0,god i feel so fucking weird - strange anxious feeling in stomach 
1,@RCSAustin none that I want to give out publicly 
0,@whitneyblair030 @CourtneyCamilla will never let  my Louis bag episode die! Was buying some knockoffs for my aunts and had to wear one. 
0,"What a gorgeous day! I wish i was at the beach, but alas i am stuck here at tfm "
0,@Mastr0 So I was at Hulas Saturday night...not for happy hour though 
0,"Doing my FF later, too busy making up plans for today. Beshie @MissSimone32 @SongzYuuup is gonna be in DC June 5-6 for a bball game. "
0,Was online after a longtime on gtalk &amp; every1 popped up with &quot;how come u r online ?&quot; instead of a &quot;hi&quot; message 
0,@arctic_penguin I had no idea!!! damn annoying 
1,"@lorrainapaz  you're going to it, too?!  i'll probably see you around there!"
0,getting sunburnt while working - need to get more sunscreen 
1,@somemaysay good day Shelley. 
0,"@BamTheDJ While prego 20 yrs ago for the 1st time, my migraines were horrid-I ended up in the ER for Demerol shots a few times   ((hugs))"
0,@chris_mccallum i think i'm going to go to the doc... just getting worse  study hard - you can do it!
1,I see a rainbow 
1,@alojane ha it is now 
1,@dannymcfly The Brazilian fans are truly the most passionate! Much love you forever! ILY (L) xoxo' 
1,"GoJo - you know, the stuff mechanics use - gets paint off hands (and faces, arms, legs). So, for the artists + painters, get some GoJo    "
1,@jason_mraz  i really love the song &quot;i'm yours&quot;  it makes me feel good! 
1,say hello and smile to the sun 
0,@bckwild I called u homie. Lol. I'm about 2 go to sleep now tho. I got to wake up @ 7am 
1,@ashleytisdale http://twitpic.com/6ddox - cool. i wish i could be there  I hope you will win. Good luck  love you
0,i wish i was watching The Hills 
1,@Mark_Sheldon Wow... another supportive tweet.  Thank you!!   #FollowFriday
0,"Alrighty. Workin on a project then going off to work... aren't y'all jealous...x D  Awe, that was super illiterate "
1,Lets play tennis grenade on bfheroes you know the name.. 
1,Packing my bag to go to Lisbon! 
1,"than you do in your entire body....just accept their awesomeness, and give them a chance.  &lt;3"
1,@Wallfish hel uva nice suggestion  thanks! now to get round to changing everything!!
1,@cjlenoil ok cool wat time where.... the wedding finishes at 12:45 in Saujana so gimme time to go bck n change &amp; al that... 
0,4:15am... awake with a serious headache... 
0,"Again learning Quantum Mechanics.. I don't want to --&gt; Sun is shining outside, nice weather "
1,@TigerMarketing : I highly recommends you join www.m2e.asia You can earn money from free shareholder by dividends. Even you do NOTHING! 
0,has nothin to wear  FML
1,You cant have awesoME with out me 
0,Do Not Use Twitter in place of real relationships. 
0, please talk to me.
1,My favorite time of night 
0,"Wasn't able to make it to church function, got caught up  But the good news is I lost another pound today!!Now weigh 252 down from 270"
1,have now set up thwirl for @maduck &amp; given her some more twitter tips. 
1,@yasexy im still up 
1,Its quite satisfying when you see a design really coming together! 
1,The thing is...I'm not panicking about it.  
0,"That beer I ordered @ trivia night did NOT state it was 24oz... less than a chipper morning   Glass h20 + coffee, then P90X to get going!"
1,partymartytime at kates tonight i think  anyone know a film we can watch that'll really freak us out?
1,"So, we didn't go to the Union Street Festival, but whatevs.  Today was fun.  I've missed the girls soo much.  "
1,"@musicbykg wow! congrats, lady! going big soon eh?  which TV show?"
1,@ijustmightendit hello  I'm replying backkkk!! How are you doing?!
0,momentarily have more energy (nausea is yet to disappear) but before I work on characters I need to fill out countless forms  SIGH
1,Hey @songzyuuup Tacia    (treysongz live &gt; http://ustre.am/2txz)
0,@atebits &gt;1week w/o Tweetie search (iPhone) and still no update on iTunes Canada? Patience wearing thin... 
0,uh...2morrow vacations end  need 2 do something for school... &gt;.&lt;
1,@tomtravel2 Awesome! I look forward to your tweets! I looooove to travel 
0,Feeling sick  wanted to call out today but I can't! No bueno!
0,"It's a sad day indeed when Jay-Z hits the top tweet trending trends in front of D-Day  Again, I thank those fallen soldiers and heroes!!!"
1,"Just got back from Indiana me,mom,and bro r coin to eat at ihop. Raining hard "
0,"@sydbob aw! I was gonna ask if you wanted to go to sky high with me, melvin and Elijah. But we're going at like 2. "
1,VOTE FOR ME ON SEANJOHN.COM FACES OF THE FUTURE iM ON PAGE 33 OR AT LEAST THAT WAS THE LAST PAGE I WAS ON 
1,@skyblues4eva Thanks  Hope you have a great day too! xoxo
0,Just got back from the dentist....my mouth is still numb! 
0,"my munchkin &amp; other fam ditched me  stuff around the house, Hills finale, then some of the movie awards...woo eminem!"
1,Sexy Costume - Feline Feisty Cat Costume http://bit.ly/H6RNb He will be purring just for you and who knows what else he would do for you 
0,Am I too fat ewww gross I'm ugly and fat help help I need a new body  I feel bad cuz I'm the only one of my friends that don't got a bf!!!
0,@itsConsiderate  omg totally.  i wish.  no hookups at the moment 
0,Its so freakin' hot in my room...i can't get comfortable 
0,just found out I uploaded the wrong pic to twitpic last night  
0,how do a twitter on my phone? I'm confused 
0,I think I'm fed up of being lonely now 
0,@mitchelmusso I Wish I Was 
1,@stacey79 ...I guess Booth decided to go home...yeah in the middle of the night...hello...so stupid...but yet I still watch... 
1,It's SUNDAY...ya know what that means...DRUGS AND JESUS 
1,OMG. i really LOVE Jerry Yan.  He`s mine. 
1,@hagackure Very Welcome  Honored to work with Haga
0,@twidroid favorites added from Twidroid v2.1.7 are not being recorded in twitter web but showing on phone  any ideas?
0,@julibarcelona Heading back home to MI in the morning and back Sunday evening   We'll have to plan something soon.  You doing SMC nxt wk?
0,"i miss @romylovesmcfly, anke and paula  i was going with them to tokio hotel."
1,@kamscottxxx Well being exhausted is kind of a given. I was lookin for some juicy details. But since technically I was there...its ok 
1,@ReporterRen definitely! it's really good 
0,@danipoynterjudd yeah but i missed it 2nite 
1,Untamed Heart&lt;3 such a cute movie to watch 
1,"#iremember Playing on the street as kids, the yearning for sunlight on cold winter days, making paper boats on rainy days "
0,What happened to the weather ? From sun to lightning 
0,"@concerts09 I'm not seeing you until Nashville, right? "
0,When will I learn... Don't try to be funny in the morning and spelling mistakes aren't funny 
1,sippin on gin and juiceeeee motha fuckah hahaha 
1,"alkaline trio was sweet, saves the day sucked.  but i had a great time anyways.  it was awesome seeing everybody and hangin out "
0,relaxing for my Friday night at the moment...hungry though 
1,Correction: 61 followers Thanks for the follows:  @G0 @tabat @Oberhauser @denfree268   
1," despite my last tweet, I'm having a fantasticly sunny day (="
1,TOMORROW IS THE BIG FUN DAYYY WOOO 
0,http://bit.ly/1G5txF  I wanted to go  
1,Happy mothers day! Be good to your momma's! 
0,my tummy hurts 
0,hmmm.....trying to figure out wat to do with my sunday until we head to dinner for dad....ugly day tho y does it rain so much 
1,"@jphatala Lucky for us all, Twitter was designed for wise-cracks  @katecollinsnyc very good "
1,twitter should be baned to drunk people!!! sorry for drunken ramblings in very bad irish people 
0,"i feel really bad i just talked to my parents like they were my slaves, and they were being so nice to me  punish me."
1,@twashley Hi to Mom from me ! I want to help make her search as easy as possible; so please let her know I'm here if she has any Q's.   
1,"@Gabelicious Haha, wow! That's rather impressive! "
1,Packing up...off to Dublin for a good session of meetings. Hope weather will be nice... 
0,tired restless... promoting all day for the view lounge 
1,@ActionLamb all great people start the day with a Starbucks  I raise my cardboard cup in a toast to the coffee goodness
1,Just rediscovered my favorite oldies station in Norman. 
0,@WayneDaStar morning! Send one up for me..I'm not gonna make it to church today...still feel icky 
0,Good morning twitterers and twitterettes! When is summer coming to LA? I'm tired of the chill 
0,checking out new followers; sorry to those who's links don't work or who don't give your name: you get blocked 
1,@ViperScot So the world of twitter got you too?! 
0,"@zetas @JacksonWages @action_jay @TuxOtaku @JackAwful @MCal27 @drandolph  Thanks for your kind wishes.But man, what a bad day "
0,iLoseWeight for charity rejected by Apple for the app store. We have to remove all &quot;for charity&quot; cues.  wtf? #iloseweight#
1,I will try to sleep early today.. but before that.. I'll just take a hot shower.. 
0,@Im_X1 oh dang! forgot about the party this afternoon...sorry! 
1,@sarahmaq  Welcome to the world of Twitter.  Hope you enjoy your stay 
0,"Just got back from work, another sunny hot day that I can't enjoy  whatever going for a cup of coffee now."
1,A Need for Redemption is now complete.  The Battle &amp; The Epilogue have now been posted.  
0,@jpstg I don't want the old bren back. I want a more balanced new Bren!And I didn't get to see the ballet  there were no tickets left 
0,"@beingnobody gig is this Wed, no time for eBay "
0,The pottery barn catalog always makes me want to have a home 
1,@patrickaxe blahahahhhahha im tired  remember how much awesome sleep(&amp;sex)we got b4 kids? damnnn.lol. xoxoniteee
1,@musiclover37209 haha nice! I'll have to check it out 
0,I've been totally stressed out all day today - with no apparent reason!  That's not a good sign... and I won't be able to sleep neither 
1,At Applebee's having dinner with my baby 
1,"@Ivez hey dude for sure, nothing gets me going than tech &amp; finance. u ready for the NBA finals?! oh - and ur wedding "
1,@cipriani15 Yup! I'm sure it is 
0,Idk what to tell her or do to prove its not bullshit Idk how i let things get this bad  &lt;/3
0,@hobbs Many thanks. Or I've left it on the train 
0,@drealoveslife i feel sick today too  xxxx
0,@OfayDevil You left while I was in the shower. l didn't even get to say bye 
1,"@Masiosare uh, no wonder you always make good use of that right!  *still hiding*"
1,@sacharules I Binged you as well.  Your Getty Images photos are #2. Very good !
1,@ManxStef @ProgramX it's Balmer now... keep up 
1,@paulmwatson tks mate. Good news to wake up to. 
1,@smosh Food Battles are like Christmas. I acted like a JoBro fan at the premiere of the 3D concert when I saw the food voting video. 
1,I have found a cute as vintage dress on ebay... buy it me someone 
1,"@LostArtOfMurder Yeah, I am. Yeah, stoke is relatively near. Cool! what u doing there? Anything nice?  x"
1,@Dannii_x3 looks like a new person is addicted to twitter. haha 
0,@sarahdessen we still have our winter coats on 
1,Nothing beats a free wifi connection from Nokia 
0,"@mclamb4life2 I went there for work experience, LOL. Well it was lovely talking to you ;) I have school soon  I hope we can talk later! "
0,Oh snap! They stil goin..  x
0,Craig Philip Robinson is staying at my hotel.  Erin didn't want me to get a picture 
1,@Savorysweetlife @BouchonFor2 - Sounds tasty in that &quot;I'm afraid to admit it&quot; kind of way. 
0,[-O] Finished 11th. Not bad but not in the top three  Man I wish the cards went my way on a few hands. The.. http://tinyurl.com/nsfan3
1,ooooooooo happy saturday!! 
1,@peschkaj maybe you need a positive incentive: if you finish today you can come and visit us over here  in Slovenia 
0,mAkiiN plAnS 4 2nItE... mY bAq iS frEaKiN kiLlIn mE    
1,"@rickyambury ...went to New Emperor as it was still open  Very nice actually. Walked past New Samsi, we should go there again. Sumo feast."
0,A little red after a day in the sun 
0,Hairdryer &amp; already hot temperatures = not good combination  *fans self*
0,Hoping that I dont have to make a trip to the hospital for the boy and his fever 
0,@ubershmoo i bet he was!! HA i am SO jealous i only saw him live @ Canada's Wonder Land w/Gordon Lightfoot - never met him 
1,@kel7alpha I only happened to look on a random chance. Timing is everything. 
1,@JessClarke as a proper journo I would have to agree with you 100%! 
0,well thunderstorms are out of the forecast  ah well... dont forget to follow @peterfacinelli
1,@kellyprovence HI!!  What's FF?   watching Twilight again- &quot;Is it not enuf just to have a long &amp; happy life with me&quot;. Aww...can't gt enuf
0,"@phillygoat lol, I know right! I would have a kindle but I can't read the books I have! "
0,@KGyall TODAY MANNN. SNIFF SNIFF 
1,"@SoloRunner 01:30 tomorrow morning, probably a pretty comformfortable time you "
1,at church then hanging with my bestieee. 
1,Sat waiting for a fry up   http://yfrog.com/0fvoqj
1,@DJMiles_LIVE105 you love life &amp; life loves you! 
0,boring... we don't know wht to do and that's verry... very... 
0,Can't believe jeremy's already Graduating  off to the ceremony...
1,I'll be pouring wine at the Rock Wall open house next week can't wait!  One for you one for me One for you one for me 
1,@lirael not bad for a monday... 
1,"@rebeccao372 am off on yet another mountain challenge in Jan, will be getting loads more in this year here as usual "
0,"@phatfffat D  I got myself in trouble,so i wont be there when you get back.But I love you &amp; tonight was so fun  xox."
0,goodness I didn't have dinner and I had cheese on my pizza for lunch.  I need food  I'm getting some serious cramps from the dairy
0,"I'm bawling at the moment, stupid titanic gets me everytime  "
1,K. Eleclit was actually nice today. My classmate isn't as annoying as he was noong first day. He's cute na now 
1,"@charltonbrooker appallingly late but:tv writers screenwipe was so good, i adored it. also, christian kid's puppets disturbed me for life "
0,@gina_pina_14 @aristeia It hit me ever since he did that last pressy conf  I cried when I saw the hugging. I'm a jumbled mess of emotions!
1,@theOlsens now are they the real ones or fakes? lol I guess ill just trust yall on this 
0,Off for more blood letting at the hospital !! 
1,@provokecreative night  I feel content tonight so sleep should come easy. Don't work too hard &amp; you too get some rest
1,@LaBela22 insane and intense. breaking beds is not cool. lol 
0,@AsamAhmad Like toothpaste 
1,"@Abbie12 A lot of women are sad right now, &quot;why John Lloyd?&quot;  heheh"
1,@Hilldeshaun Hill The word on the street is you need a new logo. Pick me pick me I am full of creativeness 
0,"wanted to make chocolate covered bananas, but had to settle for a banana split instead. "
1,@chiinarr watch it again! omg i've only watched for half an hour but I LOVE IT already  Twilight rocks
0,Miley should have won that one 
0,"@endorphite Aww poor you, its dried up here but dunno for how long. I got soaked earlier "
1,@wishwishwish fiberwig!!! I think they'vestarted selling it overseas but it orginated from asia 
1,@BrightGirl good news for me! I've got lots of kitty pics for you! 
1,"@KeithMelton99 You're welcome!  It was fun to run, though perhaps next time 20 or so should be my max. "
1,"@markhoppus Good morning, Mark  tudo bem? LOL &lt;3"
0,"Bugger , why did they have to score a try !!  *sigh*"
1,@Khaldounj yeah LOL  what are you up to today?
0,@tommcfly why do you need to be so fucking perfect? 
1,"@JonasAustralia hey,, When Does you show J.O.N.A.S air in australia?? i cant wait lol "
1,"I love thunderstorms  what a lovely evening. Now, to play Bubble Bobble on the Wii!"
1,"@yelyahwilliams this is soooo williams, haha. hey, u look like the girl from Paramore! haha, just kidding "
0,didnt have time to go to the pool today 
1,is talking to the boy of her dreams. 
0,Crap! Just realized i havn't written my blog yet for olive tree! 
0,"My mid term was hard as shit. I'm sure I passed it, but dam I don't think I got an A. "
0,Pissed the Magic lost.  Talk about a disheartening loss 
0,nope no way in to stop  just have to put up wiv it
0,Cant seem to shake the blues away 
0,hates hates hates Thursdays 
1,@JoelyAh Just sent him an email for times etc 
0,"@spencermckinney Would've figured. Your birthday is in a month and a half, and I won't even be here to celebrate with you. "
1,@jrfan8 Depends on what kind of video you make - could be funny!  (don't know the song....)
1,"@ted9k @doingwork Wish you guys were here in Wichita....it's Christmas night, reinacted "
0,"Dammit, no Star Trek in Japan until the 29th. It continues to elude me "
1,The cat has settled himself on my lap and decided I am not going to work today. I can go with that 
1,So you are just looking at the back of guys and that isn't perving ?? You can't even be bothered with the face...women..shallow 
1,@TessMorris oh such faith.......YOU&quot;LL SEE........i tell you........YOOOOUUUUU&quot;LLLL SSSSSSEEEEEEEE! 
0,"RAWR. I miss my bestie.  I cant appreciate my summer yet, until he gets back. GAH NEEN YA!!!"
0,looking at Guus Hiddink's departure pictures.. wants to weep 
0,"Ali didn't answer my text  I think she's asleep, it is awfully late for her... I'll call her tomorrows"
1,"hey katie learn to count, you listed 4 names then said 5. wow i'm suchhh an idiot.  school and tanning. boston tomorrow! &lt;3."
1,@bytera you are welcome 
1,@bobbyllew your lisa rogers carpool is now my alltime fave!! Good work!! 
1,@AnarborMike we love you too 
1,"No More School For a Week, Im So Happyyyyyyyyyyyyyy "
1,following peterfacinelli &lt;3 i need to see him kick 211me's but AND see 211me singing to single ladies in a BIKINI  GO PETER! WE LOVE YOU!!
0,Summer is so close. Just three more days and 5 more midterms. 
1,Good Morning Mothers    My Back Hurts Today. Couldnt Sleep in
0,i #blamedrewscancer for my b'day falling on a glorious sunny day this year &amp; me being cooped up in the office all day 
1,Countdown for the Weekend! 
0,"@breagrant Thought you was one of the best on Heroes, pitty they are killing all of the good characters off  how do i use this thing!? lol"
1,With the boyfriend. Life is good 
0,vacation is almost over 
1,Its always fun to go to the dentist!  my lip is numb.
1,"@JasonHolder .. true, if we were ALL rich. But that'd have to mean everyone around the world "
1,@TomFelton Hey Tom! Will you go watch HBP when it's released?  Love from Singapore!
1,@petewentz Whats the horoscope for Sagittarius and Pisces? 
1,"Woohoo!! Ad Lounge, MacLaren McCann &amp; SKETCH.ca - tomorrow on CBC Metro Morning. Listen to us at 5:45am! Talking about #artunexpected "
0,"The heat has me in a coma, I slept for about 19 hours Saturday and I'm off to worst start today. "
1,"Morning all its beautiful out already, glorious sunshine. Wash and vacum car Done, fill with petrol Done, bbq stuff buy Done. "
1,@Daein heLLo  i followed you ) haha..
1,Joanna took the Who Is Your Soulmate? quiz on facebook &amp; the result is Belongs With Someone With Rhythm! 
1,"yesterday I went to a great party. it was awesome! just amazing. congratilations again, pauline "
1,chillen at Junyur's with peoples.  the festival was interesting.. wowww.
1,is thinking of new things.  &lt;3
1,MISSION TRIPP  our one in the west side of florence got canceled! so we're goin to Birmingham! cant wait to see some lives changed!!!
1,"Now I see everything I'd ever need, Is the boy in front of me.. He's Much Better... "
1,I ran today in McCormicks woods and I gotta say....nice place to go running! 
0,I just took my last final. School is out until late September. I should be stoked but I am kinda not...  #CSUSB
0,says my heart always feels like a rock is on it .  http://plurk.com/p/sy92g
0,"@Lisaclfc http://twitpic.com/6uohm, sorry "
1,"@msdivamom &quot;...memory&quot;, then &quot;...tragedy&quot;  "
0,At the diner with the chums...no french toast 
0,"@MsMandz aw, sorry to hear that "
1,@MooChow that sounds awesome... 
1,@akwatkins  I am laughing so hard!  You will get a call 
0,I soooooo don't want to come home now... 
0,@O2 Where is my MMS  I am still receiving those messages from you when I get an MMS instead of just the picture...can't send any either
1,On the train to Catania for a daytrip. A bit sore from the bike / swim / walk yesterday  Savoca was amazing. Worth the hassle.
0,Marley and me is the saddest movie ever! Tear 
0,@SeekingPlumb can't remember the last time i got to just crawl into bed and be awake enough to read anything  so sad
0,"@xstaticstacey Yes, gross... now I'm having to go through and delete each individual entry on the wrong week "
1,"@ellljayy that's nice! i'm in my garden, i can barely see the screen lol. it's a lovely day  what you getting done to your hair?"
0,Just realized I haven't been outside since 8am  mixing the last soma...
1,no more 4hr classes until mondayyyyyyy. yay weekend 
0,http://twitpic.com/54r6e - no! we didn't eat the little guy but i begged to take him home and he said no 
0,My head must have gotten bigger... the Optimus Prime helmet doesn't fit like it used to  Time to adjust the straps...
0,@kicobra hey kicks im so tired today  i need my bed !
1,"@XThe_Happy_EmoX HAHA, we're Gonna be like super emo hardcore accoustic....piano, accoustic guitar, and electric guitar "
0,uuuggghhh... my body hurts... especially my ARMS!!!! 
0,"frezzing hav a scarf, jeans, 3 tops a jumper and boots on "
0,And the other RBU is having too many errors to play  Grr software updates
1,is watching the F1 with a cup of tea....instead of revision. 
0,"Sorry i haven't really tweeted today...   it's been kind of an Off Day for me. I've got a busy day tomorrow, so it'll probably be the same"
0,"@AJRoxMyWhiteSox oh my God. I'm so, so, so sorry. "
0,@ChristieRessel Serious? I've been going since I was a little girl.  Parents sold our place though. 
0,workin and it blows!! not in right state of mind for this 
0,@lesleypomeroy dang! I thought i would have been maid of honor 
1,"9 days; Lines, Vines and Trying Times.    Also 9 days until my history exam &amp; my math exam. fuckkkkkkk."
1,update lang po  good eve  http://plurk.com/p/xfn8o
0,@chuckatwork I didn't get an invite to Miami..I was left out 
0,The DNS entries for www.inDplay.com have been removed 
0,not happy. I know I am going to fail this exam 
0,not looking forward to thursday 
0,@KiranKhanzada i hate those days too 
1,i need to know what i should wear tomorrow . 
0,"i hate being sick.&amp;in the same week as all my half yearlys, ahh poo "
1,Watching snog marry avoid. Haha that man is hillarious 
1,.@Lollipopins don't forget about #NoUndiesSunday!!! 
1,@greggrunberg Can you please @elazar with that? I'd love some egg +bacon +ranch +bed for giving birth 3 times in 4 years! 
1,once you go mac .. you never go back !  (via @PalStall)
0,Well im hella tired but im going out to watch a race I think!! Need2 hit d gym  before I crash  den wrk tomorrow mrning!!
1,Its raining in the DC area too?  @LadyMinista
1,@tj0830 nite nite. will chat 2morow. lol  5888  
1,Morning~ home with Sladey today! We're about to eat breakfast while watching Mickey Mouse 
0,@elainerogers its a shame  what a beautiful place
0,@thisreal4ever we've gotta make the best of it before it's all gone!  
0,@xoxoHelenHilton on here and it will be too personal for you anyway probably ! I miss you lol! My DVD's and CD did not come today  xoxo
1,"@CocaBeenSlinky @Rissa545 @MODwife @run4kelly Thank you all so much for the rt's, your support means alot to me "
1,Got some new glasses.  - http://bnup2.com/p/569236
0,@DotSauce I'm trying to get a tribute site built - tributes are growing in popularity world-wide. Just sacked the developers though 
1,Having a rest after muchos shopping and eating! Added another pair of shoes and a bag to my fab collection! Result! 
1,@laughscreamsing yes. it will be a bit better. 
1,@Boice1061 they need to get there act together lol 
0,Sick ... Again. Need to stay in bed. How I hate such weekends 
0,"Not bad thanks, hate Sundays at it signals the end of the weekend  @coy0te"
1,And on that note: I wish you all a good night 
1,@MacGuffen while you do... i'm going to sleep... 
1,It's sunny outside. I have to stay in and do assignments and study. Boo. This Friday it will be all over 
0,@littlehallie fuck you're mad  the reason i wanted to talk to you so bad was to make sure you wouldnt be disappointed (
1,"@ViewFromMySeats Ooohhh, gotcha. "
1,"Hanging out in #kmnr, waiting for my show.  Good times. "
0,Gonna watch David Cook &quot;Cookie&quot; tonight. I'm already hearing it's sad. 
0,17 weeks yesterday  it still doesnt get any easyer
1,I just found a sewing machine just like my moms! What a find! 
1,@Patty_B Ooooh Have fun 
1,Loads of piano to work on ..... it just a statement 
0,thinks everyone needs to hug their kids just a little bit tighter! 
1,@ashleymarieduh  thanks love
0,"@iMoose Read the comics, not seen them on tv. "
1,Another rainy Sunday... so I'm watching Twilight!!!!!! 
1,good morning twits 
0,Already realised I've forgotten one thing 
0,@dannygokey oh gosh I'm sorry.   Hopefully they find it!  &lt;3
0,@ScottWesterfeld They are all probably already using &quot;hand&quot; and &quot;understand&quot; like unimaginative morons  We need more songwriters!
0,@beverleycuddy My weakness is chocolate and crisps.... I follow Weightwatchers - now need to get back to it after my visitor goes 
0,My feet hurt so bad. I wore heels when I went to see Anne Frank's Diary and I haven't worn heels in years holy shit. I'm exhausted. 
1,"@knappkd Oh man, I don't know of anything good to come out of that place "
0,@sophiakills the childrens hospital orientation thing? I know right. I really wanted to volunteer there. 
0,looks like rain..  boo.
0,"@Suge_13  Yeah I understand. *hugs* You're away from that asshole of a brother, though!"
