sentences,labels,vader_scores,mod_vader_scores
<s> browsers district realdeal32 funeral applause shapeshealth clear tacit 29th atlantic ray shin raft popcorn sa pinkkpaiige12 sunshine foundation roddick hong </s>,1,0.7269,0.7269
<s> gavroache raid jodieharsh mint major shaun blind poker tub parachute quack drama creative prosperous eeeeee trouble comic topshop ps brightness </s>,1,0.4445,0.4445
<s> chloe report sami braun430 boxxybabee smokers honestly olivia sooooooo geeeasy cuddlebum welshdrew samurai prince alliance stephpangjaya fer martin leg stephenfry </s>,1,0.4588,0.4588
<s> sad backup234 becabear aliciawag soup go xm vibratey kid trekking23 zacseif seven secular killer4 stranger orange shadcharleston geek salt laa </s>,0,-0.5994,0.5994
<s> go paularos jessie111 eeeeee pain macbeth alive os infiniteemily adamrawsonbrown per stupid scan beware bedfordshire joanpatrick winstanley sum knight hear </s>,0,-0.6249,0.6249
<s> king617 ace keychain fell 25 pound trampoline jennings honorable frequently s60v3 timelordsimone flo494 dddddd tomsmithmcse op thunderstorms patty strangely joannesmedley </s>,1,0.3182,0.3182
<s> sleep lyric nt science jodiluvsjordank kong simply kiddshow spill chriscavs olds soldierknowbest deadlyseagal 13 uuuggghhh view shamileemac l pity send </s>,1,0.2023,0.2023
<s> sad 26 renatebeate jennhoffman east people high document pro choices town johnpapa banner flickr swamp pretzels lean indies defer cipriani15 </s>,0,-0.6486,0.6486
<s> brother clay totzhatz midi chef therealceaza7 worse die repeat dayyyyy sagittarius me2 philgerb beach mcp ota semprafi mar advertise official </s>,0,-0.7906,0.7906
<s> abbey above12 halfway momentarily journals pot rafatux cctjoh florida fossils finalists keeptheheat soo spaceeeeee fiberwig hotel restaurants mustang lorrainapaz convention </s>,0,0.0,0.0
<s> nokia musclenerd nevermind sleeves idle uggs funk haunt cbf physically shop poison laa speakers quack leaflet mugglemama lbs behind greggrunberg </s>,0,-0.7351,0.7351
<s> o2 foiledcupcakes maintenance moon wid watkins leesasaur sunburnt atlas mandytronic 2site countdown thatchickleelee when pastor chen op women futuredirected vintage </s>,0,0.0,0.0
<s> receive ms rejoin accommodation lashonp give windy kwamedidit lip02x high kreativeham sick directly echo bengal mic hoaaaaaaaaaaaaa manipulation dc overtake </s>,0,-0.6705,0.6705
<s> sumo midsummers adamsinger stripe dazzlemethis mischief plz hospital skirt robdyrdek multiple martin focus lads olds chan miles phoooone tactic hairdryer </s>,0,-0.296,0.296
<s> sunny goodbye awe island title aim bubblegate lads certificate brooklynblack dang swineshead domkoenig hbo goodninght gailporter num luton billyraycyrus x3 </s>,1,0.4215,0.4215
<s> precede membership fuller yoohooo heavesighs upset quack dannsimmons choice eagles89 hmm drjaxxthe xxitsdaniellexx mag menu19 competition curtcosmic hyperlink rap originalgata </s>,0,-0.3818,0.3818
<s> second dougiwmcfly cocopuffs pizzeria sprinkle dm bigblackdogs bug metal chiller relief politician badbadgirlx vernongarrett tomatoes sight soccer milk chat finalists </s>,1,0.4767,0.4767
<s> gutted hop tell foggy stories fry irishprincess41 grahamwgreen julian single anna shine mashed09 barbecue whole screen thing machine assume robinleaf </s>,0,0.0,0.0
<s> critikthedj que year clutch yorrrrk marjamma xp ali prove policy thebestofhands bike plan trust snail pasta viperscot bencusick92 moanyboot newsletter </s>,1,0.7096,0.7096
<s> seekingplumb grad salt image monchainow chair ep sunshine stress romaineami angelo katie weekly cokiethecat lalalala coke nor diner carpet mmmbennodacock </s>,1,0.1027,0.1027
<s> sport lack theodorainish bacieabbracci headache tigermarketing daviddjfrancis nevermind sexykellyc êµ podcast scrum assoc goodness500 spencermckinney bellybutton shedabeda balance maynardcomau housewives </s>,0,-0.3182,0.3182
<s> cpt floppy yesterday psittacosis glossary fell sleep leg joanpatrick glossary row chew issn swgapolitics higher provokecreative doomsday maddlepaddle poll dire </s>,0,-0.7783,0.7783
<s> butter summersteam liken dragonflylsu xchadballx ashleyshakesit component master0 salute lmfaooo bah callkidskrazy sometime bruno108 overtime although kristen cholesterol ground ego </s>,0,0.0,0.0
<s> relax euros cuddlebum boa ting necklace technical tank anger reopen rib comformfortable yeh rainbow bckwild already odore ddublover ones celebrity </s>,0,-0.2023,0.2023
<s> hope battlefield couldnt label22 begin kiddshow whatever cast fumble run thesourceress twiquarius brandywine kovi stranger transfer throne wrath angelo kor </s>,1,0.0772,0.0772
<s> im cp carcassonne olive fort justinofg4p crs secretvalley childrens print assets ruthramirez pinkkpaiige12 angelbysea await 5hrs louieevol sun ringtone personal </s>,1,0.2732,0.2732
<s> migrants jonathan gavin8 littlefletcher twitterworld mallorygallery weeks disc comics 20th heavily breath template long crashypoo friction expect colour pot undergrad </s>,0,0.0,0.0
<s> eli wii learn bradiewebbstack princess idea greeneyedjessie crisis ester1992 around ihauntwizards teemwilliams thatdudedeon torehtard squarespace xiaomantous michellelynn69 costume ks juiceegapeach </s>,0,-0.6249,0.6249
<s> sick littlefishey em bay del vic beth slave wash kccopydiva nas units empty sarcasticluther earthquakes minutes tho azkaban thrill intro </s>,0,-0.3818,0.3818
<s> twitter bread bj same cjlenoil ticklemejoey lamina badminton frequently totzhatz pet manners catcher1 configure transplant bytterflykissx2 fireworks stephenperry rd canadian </s>,0,0.0,0.0
<s> find alot theolsens jerry prairie studios ballads da ago whedonverse father tennisetviola football harper hanshillen rehab begin company diff almcheese </s>,0,0.0,0.0
<s> herreee yum dairy pledge s60v5 angelo pot brownish gay le sooooooo dns east park defense smart venetian dca tinytwitter anticipate </s>,1,0.4939,0.4939
<s> stick board slower ticklemejoey yayayay extension pc learn link carpet focus area belong overtime pride thsteininger actors thunderstorms hunt adam </s>,1,0.34,0.34
<s> north shartlesville roddick wot neighbour sofia humanity sweet paigearcher business season tuxotaku stonewallers wildbil similar goooooooooooooood ottawa mmmm linux hasn </s>,1,0.4588,0.4588
<s> get cousins jenajean writers nightshiftnurse when do brevity pinkberry europe twilight a200 petewentz 66keen61 actual hbo easy mor alarmvsme lore </s>,1,0.4404,0.4404
<s> craig ting bathrooms greenwichlad chinatown g dentist yamaguchi crap kong quant wales hyde durham boy hit smc also 21 garbage </s>,0,-0.3818,0.3818
<s> pick adorn friction congratulations tr2 display bamthedj stub mistake alyshachandra swine sparrow mc partially tonycarrera caroline mobster3000 fact oprah oo </s>,1,0.5267,0.5267
<s> tamihackbarth sponsor 25mins redo clairemsp srv teddy eddidit grocery crazytwism revid dirksonguer weather hole1337 diarrhea markrosenbauer nintendo horn predschickidee yer </s>,0,0.0,0.0
<s> doesnt hccmorrisville mum desilynnsmom fuck evil pow episodes chores greece red reemerband superstar faster michellecorona tuesday726 auto sng noone rum </s>,0,-0.836,0.836
<s> tg crashypoo angels costume onefullyear babe apprentice squishymatter sumo rich thebrianposehn apply chuckiem littlebites bochum wont rcn aikiverse pilot liga </s>,1,0.5574,0.5574
<s> number seek match shewillcutudry sitcom procrastinate happiness communist kschwalm g1 vomit years village hawaii entertainment jenniekitty uk2 film awwwwww counter </s>,1,0.8442,0.8442
<s> fan helluva sherryhorror kimscriven successfully martin showdown new richie cobracam prince partie twittyamanda incredible dance2jeffrey buckhollywood wichita engineer th3map hey </s>,1,0.6705,0.6705
<s> meetniroim paloooos males bnp marygoongirl alarmvsme husband nikimontazaran last paddy stefanieex0 animal amypricex greggarbo 1vs100 fixreplies eighth dublin xbox shake </s>,0,-0.1779,0.1779
<s> m0t0breath photography eu macguffen nowhere citygirl912 translate marleematlin affairs household valerierenee demand instal canon shutouts 5 davidarchie pakcricket salisburydowns v3 </s>,0,-0.128,0.128
<s> leesasaur ima die ooooooo roles9495 sensei poor 00many00 strangely association parkway milestone rollerblade juku presence raaaaaaek ladytron rocker ryan fossils </s>,0,-0.8481,0.8481
<s> revision mill chelmarie1969 bubblegate actually jenbrockwell former pic vancouver idea kamscottxxx goddess finalists marylandrum feather huge carolermp sunglasses jeep jealous </s>,0,-0.1779,0.1779
<s> twitterers dunkndisorderly wel sebastian aunt pa don prime dv pillow hey beingnobody manxstef twilightchill winter redguitarfreak requiem mazziez oops challenge </s>,1,0.0772,0.0772
<s> christieressel na window deletion oberhauser serena kinds motivation genteeeeeeeeeeeeeeeeeeeeeeeeeeeee complete awkwardness scb4vp democracy menu toss untitled longtime fairly hekissedmyhand palmer </s>,1,0.1779,0.1779
<s> ali thisreal4ever ð¾ð²ñ txbrowneyes20 timelordsimone asiabrands sharenwatson awhile animals mesmerise gkarageorge parade publish dms hide sonic helluva harry wing followers </s>,0,-0.1779,0.1779
<s> future delightful soldierknowbest dublin98dave robinson burn2 demerol bosnia dannygokey chart trend topics fireworks sedonadreammakr cruel cancel glass thatchickleelee shanebryan kamscottxxx </s>,0,-0.25,0.25
<s> greece vegas mommaof4wife2r ugly toothache lisabeth mn outfit backdrop goooooooooooooood mamaanna lovato kh add noblesville solo bub youth miracle wan </s>,1,0.128,0.128
<s> webcam noahbond fuck itschristablack large poet merchant debate bitchinmona crazyfirebolt njrugger45 feisty sexy spencermckinney today panda jus airport wasnt jrklover </s>,0,-0.0258,0.0258
<s> leeboardman complete grizzly sisterhood layman3 uugggh team whoop dumb shamileemac top vile stupid mic missladyswd t0othache hammer w00t wrath lightning </s>,0,-0.7783,0.7783
<s> get grizzly em gods wnt already thunder spring gin soda marry hurrrrry adventure csc financial everything sacharules small moz westcoast </s>,1,0.3182,0.3182
<s> conquerofawesom alexorman1 mikecarden greeeeeeezy state ballet choose mandatory diner unforgettable gulpanag sideman aunts frank christ revenge calgary mommasalty mikemoseng serve </s>,0,-0.4767,0.4767
<s> copywriter undesirable smokers flugtag prince brow mrsjdubs slot daytrip gusts lesser r2e2 bytes2112 sissydawnie mo demivenom mossyrants font enough dress </s>,0,-0.4404,0.4404
<s> coach equally cereal wokeupinrayn blahahahhhahha blank headline unnamed heartbreaking allison insider seminar infuriate mile frequently digitallearnin grahamwgreen thursday venue eleven </s>,0,-0.7351,0.7351
<s> jackie babysit stomach freshman imo yogi secretvalley start fyi language realkidpoker pleaseeeeee wellllll iroooooning pint tennisetviola rhythm midwife pair oasis </s>,1,0.2023,0.2023
<s> cleftmommy0217 stiff tha ð²ñ fam sarahsaner afa utrecht gps tonikaras lava bang same annamariapdt 5888 nd metro revise potential online </s>,0,0.0,0.0
<s> im pete join roddick katherinelunt shame im service master0 leeds surf ceiling ijanette key nanny brain adriatic swim beware things </s>,0,-0.2263,0.2263
<s> daniel ole math duchies ljboldyrev joey redir encounter canal lakes crash sims room throne manners fuller mesmerise coke humidity uch </s>,0,-0.4019,0.4019
<s> musclenerd obotchi 3g handy ridiculously adamrawsonbrown grab fyi no lucy me2 idno shamileemac os prince william pavlova northwest ruin la </s>,0,-0.765,0.765
<s> gutter strawberry goooood twig recognise accommodation latimes monchai teacher socialist itsnikki nea bin rcpmelissa swine incentive consider yakisoba djtracyyoung djtracyyoung </s>,1,0.3612,0.3612
<s> dream audio question blastingadookie recipe play twitsaver dun pillow learn bmaynorx3 vi trace027 grow yes maxwell complain least climb tamihackbarth </s>,1,0.5574,0.5574
<s> language no1 angela yulianasari confessing7girl ajanay7 sim iv webinale flint game138 redo gooooood gary gr response xdahlia twitterers care surgery </s>,1,0.4939,0.4939
<s> sexyjoy386 abt semesters goodness500 countless awe hun format bahai b09 mandyblake potency hiddenbrooke ass topless furniture msa asamahmad emblem cable </s>,0,-0.5423,0.5423
<s> anger rafaqat gatorade kindly tera consequences odds danipoynterjudd isnt reign kirstielu untitled supasash11 jesseshunting phatfffat didnt bon promenade store anymore </s>,0,-0.128,0.128
<s> hang complainnnnn frustrations mskninah every1 xirclebox huwstephens drink harley super geegatessxoh dunno software gamehounds apt jessebarrera main2 machine overweight jaleesaja </s>,0,-0.1531,0.1531
<s> sick cry anand nature sash prairie summ ppell szombathely catchy pink excuse bonedaddyking divorce seminar 2009 album theglitchmaster 09 shutouts </s>,0,-0.7269,0.7269
<s> ment ramsay communitycoffee xchadballx ebonyintuition docs pregnant blueprint f1 double whatever radiata establish arabidopsis amaze security sweet sheer early toothache </s>,1,0.836,0.836
<s> carolermp angry teach radio graduation distract lollipopins ebonyintuition falloutkid07 pete screw artunexpected tomb nozuka touch coilhouse sexykellyc stephenpope mga congo </s>,0,-0.7096,0.7096
<s> miriamcheah fbb420 minutes rm superstar smile shoot pleasure katie mikemoseng geegatessxoh theories singer away world sort twidroid miami modes fic </s>,1,0.5859,0.5859
<s> programmer petsmart china appal nickname falloutkid07 viewfrommyseats hhh section alkingyouworms amazon paloooos minimize h soldier schedule stir science brian feel </s>,1,0.1779,0.1779
<s> john e3 karleigh focus intense ncaa troystith microwave word english sympathize worldwide hahahaha syllable rachel2206 eat onlyonefantasy nigra service bouts </s>,1,0.0772,0.0772
<s> apple shogi hahahaa aaahhhhhhh nxt txbrowneyes20 merit ooooooooooo 4rm excedrin scb4vp car station wife dear caitlinlynn haters 25th hounsou finals </s>,1,0.296,0.296
<s> der steal crow w00t englisch atlantisjackson schoooool yogurt payne jaffacakes seem downstairs flare jazz annelizabeth84 smooth 11 page1media hiddenbrooke chillout </s>,0,0.0,0.0
<s> give chefrosebud wah without murray meganmcdonald enlighten iv grocery traffic man saint divorce pledge thru alfalfa third onefullyear mashed09 bake </s>,0,-0.4023,0.4023
<s> go fyi gba iguana soulpoetrysite observe finalists hall cuft kk steal dunkndisorderly mardeck momentarily term davidarchie worth enough model wed </s>,1,0.25,0.25
<s> 4 dia departure keystone muddle tomsmithmcse ike hon noahbond proper registry fff bday eff honeybunches political workhouse lazy flickr saison </s>,0,-0.3612,0.3612
<s> surf treadonmydreams 211me couldnt potency plutonium lacrosse1984 ftw l8ly condition richie yoooouuuuu sukebeuchujin wash factory lyric ck noise antibiotics lamb </s>,1,0.4588,0.4588
<s> mossyrants flanagan mfgreer unfold doomsday fel greggrunberg migsmusiclover oblivious however infinity alexytlee statement grumpy rocker font individual fifleaona college series </s>,0,-0.5859,0.5859
<s> slip lonely calendar aristotlemusic daughter laughscreamsing baby upp ankle getmevideo tip frankmillar thatchickleelee kayak 9 kai aria nasty xm rich </s>,0,-0.3612,0.3612
<s> home pottery summer fell booty 20th lakers comment johnson terrain picnic dude 23rd burgundy goooodnight toast ale michellecorona thursday transport </s>,0,0.0,0.0
<s> insidebooks bobshrunkle fat melissa ikta com muster allies0r broadband butler lanes alltime fill musicmondays envy tinalaroo fireworks war congo opinion </s>,0,-0.7184,0.7184
<s> catherine website afford maybe anna extension vandalize meet appal huh magnificent mic sinus catcher1 sexyjoy386 phil person sam snap comformfortable </s>,1,0.5994,0.5994
<s> twitter np hardbean api refuse alsoknownaskels wind luckyrivera princess savorysweetlife rubbish audition mastercook bellybutton fish dr theme itsnickjonas department facets </s>,1,0.0516,0.0516
<s> restaurants unhappy ridiculously rocker drum state khloekardashian should prefer cave choke iknowrite absolute shut server 88 tubilino ahhhhhh plot mimosas </s>,0,-0.8271,0.8271
<s> 9 mistymontano 27 smith exceptionally cheer magazines bookmark bub character trophy early radar aug presentations cpc chillout lewisking vernongarrett have </s>,1,0.5563,0.5563
<s> onefullyear payne sure kiln gusts beyondbeeton jofstar ihauntwizards newcastle due doctorpancreas rebound predschickidee odyssey ataxia 25th kitty method stephenperry cp </s>,1,0.3182,0.3182
<s> gloomy love jrklover weekly nba utrecht orascom trip promote rm prop beg kenya kidnap than 0 bottle performances diesel mariahcarey </s>,1,0.7351,0.7351
<s> teemwilliams passionate midterm oldid excuse us nevershoutaziah 2night forest london grahamwgreen search kaaatieexlee redir able wid circumference automatically vietnam suzeormanshow </s>,1,0.5719,0.5719
<s> mandyblake computer sjusovaren spill keystone musclenerd individual deadlines impose watch bout soulsupreme yearly thx allen dinner terribly goodness500 assort try </s>,0,-0.5106,0.5106
<s> littlelisa69 natural visitor mi88s s5 rob voice trampoline moleskine poke perfectly procrastinate earth pandora sabbath freelance vomit truck package depend </s>,1,0.6486,0.6486
<s> puzzle alive daw johnpapa amandalee55 modern mage florence call intel yeah attract aaaaaa raptors wit longest handy australian idiot jenbrockwell </s>,1,0.4588,0.4588
<s> king617 one freedom sophystar whats hahahaa anticipate belli best actors catalog li different afterwards elem mathematics empathy pressure camel read </s>,1,0.802,0.802
<s> yamamoto anniemacdj diversitybgt horrible catchy charger dramatic reserve insidebooks quality barely social ip dexterouslady univ karamarzilli mins aha sri ima </s>,0,-0.5423,0.5423
<s> eat lizamtl horizon random suggestion cellular assignments ashjolliffe sarahbelle93 mommapuff e3 threaten lamb crisis nathanfillion treat pho blink mcflymusic econ </s>,0,-0.6124,0.6124
<s> watching05 sheen iceprincess12 infinity literally geese rock chuckatwork bacon philippines lad confessing7girl anchor bgstrowger karl half2329 dadonwoogz ê³ officials ned </s>,0,0.0,0.0
<s> office frankly junior slovenia lena wander busydiscoball difficult onlyonefantasy swmchic lift thru patrickaxe coco circumference assignment signingmom pinkkpaiige12 trek may </s>,0,-0.3612,0.3612
<s> idiots cleaninggirl soil herbonestrcture join florence gutted indrairwan along psp footage protester issn djvictorsalazar inspiration recycle cipriani15 monies remove ppc </s>,1,0.6808,0.6808
<s> jeffmello palm homeland text floppy woofwednesday isnt lollipopvomit gracious mmitchelldaviss lollipopins yankees please getmevideo however diff 12 jessilynn15 hoe chaos </s>,0,-0.6513,0.6513
<s> dad jacket playlists reply lv feat dunkndisorderly dunno water pity assume awkwardness curl cinetrip chew however richardfrank chrisworthy denisehammock nude </s>,0,-0.4404,0.4404
<s> cipriani15 s5 nakulshenoy 0 demivenom w milton luvyaa daddy alma nm monchai list loss paris bahai cooooossstttaaa mrbenrubery utrecht chloe </s>,0,-0.3182,0.3182
<s> bipolar amp143 albums bear format furniture googlejuice thc1972 linux liiiiife anarbormike relationships costa lb spread katgkionis study airlines johngreenaway overhead </s>,0,0.0,0.0
<s> 17 bad ruby hospital revision evidently stranglehold lock anybody juku iloseweight horizon ilikebubbles patriot stonehenge lilpeadot guitardragon scar toe victim </s>,0,-0.6808,0.6808
<s> practice proxy prestonlowe shoe stiff danyelldamaged grind aristotlemusic gallery cre8tick jinnyboy karma irishprincess41 mykiaisosm essay l8ly sunt allabtanimation maple sue </s>,0,0.0,0.0
<s> tis ashley melissainphx lobby cp current maynardcomau hungry chico london88 nekã¼nk wwwaaaaaaaa europe nicolerichie grass tamil dish bout kinds tend </s>,1,0.0258,0.0258
<s> mybbworld toy highly rosebud ndtv purple obsess staff stay mark2 give 11yo page1media coy0te lips championship bump bob square6 damn </s>,0,-0.2023,0.2023
<s> lovekikiii bakeries pazzafied one vancouver bjgotnext coffeebreak wichita afford lib state decorate pusher stalinism goo knittingknots unbelievable degrees nxt 3g </s>,1,0.2023,0.2023
<s> vi swaps0trend blackout1979 mtb lefigaro 7am ther bicentennial everybody nuns trivia moms tinalaroo nb109 chess kimboyee pirate improve pinatubo badly </s>,0,-0.0516,0.0516
<s> windy6 boobikitti mrsrrc sim savorysweetlife seth ihsanamin premise disfigure technicalfault category childish couple downfall savagestar signingmom lok shots confidence items </s>,1,0.2732,0.2732
<s> jack beg christine basundra kid lefigaro terilynns xdahlia leap carnavilistic scene fon protection err draw reckon clinical ne dylancoyle give </s>,0,0.0,0.0
<s> stranglehold pertain clip changer buckle fault stormy keeptheheat delight perfect clairemsp rap salon middot dvds revise pak explodedsoda serious drain </s>,1,0.6808,0.6808
<s> hiphop petty kikuuu reality chasingphoto rebuild pilot jeremy greenish richards summer bedfordshire malice yearly bigwormy cafe idea increase coliseum moniquemay </s>,1,0.128,0.128
<s> stub male boa would calculator rm robinleaf request miriamstaley homeland present severe checkertail murphy restaurants problem neighbour bonnaroo chantalalalaxo topshop </s>,0,-0.6486,0.6486
<s> ok nazi raw holland ahead yada pho umn animalhouse4384 staaceeyy paigeclay freedom detectives franklin dm inspiration champorado casualty minimal kccopydiva </s>,1,0.7506,0.7506
<s> spirit lair meets625 bnp homemade boat wussup miami fat bigbearrg montana month prayer strong bahai pull kitty plane lauralkgw yearly </s>,1,0.6124,0.6124
<s> treypeezy v3 tomsmithmcse salmon bifferlicious gamename surprise far choose virtual biz us sandiego grizzly t0othache grave songzyuuup teddy postpone kweenie </s>,0,-0.34,0.34
<s> midi response carmabella fh monchai bloody xoxohelenhilton deadlyseagal nevermind dddddd seemouserun sentence campaign exclusive uptake2643 pop fc snl cornice withdraw </s>,0,-0.2732,0.2732
<s> tedmurphy episode corner magnificent greenwood badbadgirlx jessikasay earthquake chain ml jammedhands diary precisely jungle probably shane tokyo favorite forecast vital </s>,1,0.8442,0.8442
<s> cripchick700 sssssseeeeeeee decorate bendywalker kc midwife hilldeshaun memory roach hw navarro arena saki abbey sunbathin totzhatz matthew counter sui marcus </s>,0,0.0,0.0
<s> mountain apology conquerofawesom involve decide jeffmello policy troymcdonald size focus ninoushka perfume queen fon wo zyrtec twiparty bye2x tigermarketing template </s>,1,0.0516,0.0516
<s> disney lecture chance overly regularly celeb keynote ashamed leave sweetness dedicate dannymcevoy uh beige lauriebailey chores bigwormy intel beccalovesbooks clearly </s>,1,0.5574,0.5574
<s> donniewahlberg primary silver pee win association cord hire homemade fuppin chriscornell idiots alzaidy registry mile johns ceremony keepithandy designate 4everbrandy </s>,1,0.5859,0.5859
<s> teen defer vol wife white tonycarrera nike permissions rzburg asahi canadian bochum kevridesthecab uh mydarlingemma ones liturgy niraihifi aoc knitpicks </s>,0,-0.296,0.296
<s> conference couldnt kimkardsashian orientation kerrylouisexxx german moore retrieve zacharyxbinks competition greatness angelaisawesome viewfrommyseats bryan cube shopaholic christmas pinatubo position wickets </s>,0,0.0,0.0
<s> toddbrink 2007 thomas directly imagination planar inn marjamma 97 will 10am alyshachandra atlantic iff wonderful housekeeper mark bachelor purple potluck </s>,1,0.5719,0.5719
<s> norcalwine littleradge 4everbrandy fina burgundy males somehow hit soospecial fold musewire modern verseghy emotions he july gif emerarudo crisis shuttle </s>,0,-0.6249,0.6249
<s> hit island tease thisislivestyle meganmcdonald aoc stephpangjaya cost katgkionis hood grass sweetdreams imeducatednsexi comic mommasalty nasa official logo theater w8 </s>,0,-0.3182,0.3182
<s> blizzardskies comics fritz athlete mallee marylandrum redundant night likesunday load ground forester oregon half2329 others suppose y0manchinggg convince water nikimontazaran </s>,1,0.25,0.25
<s> wildbil crave cyberela arnoldkim arch w todays xscarletmx jazzyfizza chopsuey2e t4 goodness write remedy succumb affiliate melon sooooooooo mental separate </s>,1,0.4588,0.4588
<s> mariahcarey opportunity modem hole1337 carpet msdivamom priceless homeland fam ashleymarieduh vampire web din tera brown crown cheer yr equip 00many00 </s>,1,0.7269,0.7269
<s> maria32686 iamdiddy parish tagline elle ftw file kai yea launch language batman vampire past kkkkkk dreamluverz san law jaleesaja gatorade </s>,1,0.4588,0.4588
<s> station levnumesmerized redir arch kim jimmycostello china chart premise ya spot git 1989 spare pirate special mfgreer relax caroline sumo </s>,1,0.6808,0.6808
<s> suspiciousminds courtneycamilla oz code prettysprinkles chettahman jodymal procrastinate exhaust downstairs shellimayfield willflowers investment affairs gps units outlook comment fh cyrus </s>,0,-0.296,0.296
<s> herbonestrcture chaos get dam amylovegrove bf demivenom when rum format magicians investment brilliant clothdiapers array basundra cornell overrun kylebice microwave </s>,1,0.0258,0.0258
<s> haha schooooool madness mitch polar10 haze georgefiddler kc list la julian philip feline wah cough ankle hangover netball threats reopen </s>,0,-0.4019,0.4019
<s> way originate thenamesblunt mmmmmmmmm phoenixpwns communitycoffee thomasfiss unpleasant enlighten ima annual latin shelled1005 georgefiddler shapeshealth xlittlemisstuki tend zarrabis spotify array </s>,1,0.0516,0.0516
<s> lol goodmorning greenish macabroso test demons2009 insurance outlook sedonadreammakr yoimajunkie lad iroooooning westerkerk december txbrowneyes20 idle store sleeves sarcasticluther geegatessxoh </s>,1,0.4215,0.4215
<s> fabric accident pathetic india ick whole system 100 one bbc chat opera spare1980 bottom thelarssan september confidence iranelection montana original </s>,0,-0.296,0.296
<s> date badminton breech mexico peach sneak nikkithebee straight er courtney319 rito c raaaaaaek camel rzburg sz4 piece funk jonathan saki </s>,1,0.2263,0.2263
<s> ebay ataxia alarmvsme englisch him cirrusly rev elainerogers uk boost fire nelldamylf manager toronto mi88s aint xlittlemisstuki papa dsbabygirl hosamkamel </s>,1,0.0772,0.0772
<s> suggest rels noise blizzardskies blaze throne cathvontrapp popularity yeeeuuuuck olivia icednyior itinerary industries viral printer norman nanny spoon anxious ngl </s>,1,0.2732,0.2732
<s> summer t4 lewisking fat chair dawniecahill across jossi australia nr identical theellenshow twitterworld cafe ariaajaeger mrskutcher sabbath doctor haunt october </s>,0,-0.4019,0.4019
<s> king monster forte pen hehehehehe della alice denisehammock skyblue4eva constantly life nozuka makeup noone severe 2uk ignore ahahahhahaahhahh depend badly </s>,0,-0.802,0.802
<s> friction shrink pinboardblog supuesto march keyboards fremantle mahogany85 surely showdown haters marco mastermind jakesonaplane cox sunrisesister publish flu indo misternoodle </s>,0,-0.4404,0.4404
<s> teambudd1 iroooooning prettysprinkles shansgrl fool misspear friends 1week master0 hawaii drive future radioplay guess bitch pres cofffeeeeeee hahahahah whatever sandiego </s>,0,-0.5574,0.5574
<s> log heypaisley sol unless iheartscuttle noodles integrity romylovesmcfly wtf archuleta jasmine turn fair heap carcassonne mardeck japanese south bj oneself </s>,1,0.0258,0.0258
<s> im shane ko bumblebeebree design gavroache terribly herd daisymoonstars tank della beside isnt trend gamename bear scam shore fussball knee </s>,0,-0.8074,0.8074
<s> petewentz cynnergies maria jrklover shit bachelor leosgifted1 alpha kindly lacrosse1984 check rerkaizen swamp ardenkhan amazinggggg task kccopydiva ecoblips isabokelly emperor </s>,0,-0.1027,0.1027
<s> volunteer rickyambury costly msn willflowers ppc to stluciangirly data bros er mtv stluciangirly costa deal definite well lyric brothers chasingphoto </s>,1,0.4215,0.4215
<s> cholesterol bomb hehehehehe educational approve add twist robot asleep chillout html again ash katie2008 awaaayyyyy poo members noisettes conference bristol </s>,0,-0.4939,0.4939
<s> lakes frog mouth gotham twilight entertain hairbrained utrecht courtney scrum spare knees authentic indies 5ë stop cost barely mitchelmusso mcmahon </s>,1,0.0258,0.0258
<s> hammer theaters marisolmercedes patience ecstatic kimkardashian diary chuck janet angelbysea armour gas zefamedia miiikeo trailer stripe card protect mister dannymcfly </s>,1,0.7096,0.7096
<s> love ny flower mammal ani chen avalon rubber softmachine newlyweds rachel2389 luishandshake id prime honey101 oo peace emotional mozilla grade </s>,1,0.8519,0.8519
<s> pregnant graham c cta weakness pure london musicmondays permissions anyone johnny scrape6o8 vietnam bang ashamed nin sri kathyireland sup consequences </s>,0,-0.7096,0.7096
<s> rubbish 6a goodnite orlando north daycare littleradge rhettroberts livelavalive countdown niraihifi dealer knowwwwww coda twitpics crawl pigeon 3they lips jakarta </s>,0,0.0,0.0
<s> tehkimber ich paper anorthernsoul phoooone problems lengthy tire soldier wussup chart23 bird due exceptionally carradine shareholder addiction greatly affiliate jajjaja </s>,0,-0.4019,0.4019
<s> liga haul launch future paranoia reason stay thread davidlimonline tomorrow mamaanna throne choice chuckiem hire guinness ramielemalubay res nerd chemistry </s>,0,-0.4939,0.4939
<s> danipoynterjudd com trekking23 paloooos entershikari lottery eni supernatural fuzzy allllll yoga deeper duck stand fever masterchef eu wall bahai self </s>,0,0.0,0.0
<s> dont doubt half2329 idno colonial toronto welcome stick quarter lisabeth kick croatia bass mynameisforge voice newsletter useless reallllllllly renukarajadurai sweater </s>,1,0.3204,0.3204
<s> sue si bicycle brazil foundation 854 small stun mat florence colonial carolermp disappoint sxsw supuesto disappointment deck exam pickassoreborn decide </s>,0,-0.7184,0.7184
<s> ramielemalubay sofa will ahahahhahaahhahh phoooone salmon vs eni itsnickjonas ianrobinson todays sheffield wind smartphone hurdle instinct waaahhhhh chihuahua situation sarahjclark </s>,0,0.0,0.0
